game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Dead Space 2,https://psnprofiles.com/guide/5059-dead-space-2-trophy-guide,PS3,9/10,40,6.36%,"72,098",4/5,25,81
Hollow Knight,https://psnprofiles.com/guide/16957-hollow-knight-trophy-guide,PS4,9/10,100,9.40%,"78,720",4/5,15,72
The End is Nigh,https://psnprofiles.com/guide/9320-the-end-is-nigh-trophy-guide,PS4,9/10,40,10.06%,"17,241",4/5,6,9
Let It Die,https://psnprofiles.com/guide/9513-let-it-die-additional-trophy-dlc-trophy-guide,PS4,9/10,1,,"13,208",,0,8
DJMax Respect,https://psnprofiles.com/guide/14056-djmax-respect-v-extension-2-dlc-trophy-guide,PS4,9/10,5,,"3,721",,0,0
Persona 4: Arena Ultimax,https://psnprofiles.com/guide/8752-persona-4-arena-ultimax-additional-trophy-group-tohru-adachi-dlc-trophy-guide,PS3,9/10,8,,"4,515",,0,5
Strange Brigade,https://psnprofiles.com/guide/14954-strange-brigade-graven-image-dlc-trophy-guide,PS4,9/10,10,,"3,697",,0,0
Mirror's Edge,https://psnprofiles.com/guide/276-mirrors-edge-pure-time-trials-dlc-trophy-guide,PS3,9/10,10,,"14,661",5/5,11,33
DJMax Respect,https://psnprofiles.com/guide/7926-djmax-respect-technika-2-dlc-trophy-guide,PS4,9/10,10,,"5,577",,0,3
Q*bert: Rebooted,https://psnprofiles.com/guide/7683-qbert-rebooted-trophy-guide,PS3,9/10,10,,"21,232",,0,17
Leo's Fortune,https://psnprofiles.com/guide/7483-leos-fortune-trophy-guide,PS4,9/10,15,,"16,760",,0,2
Sniper Elite 4,https://psnprofiles.com/guide/13435-sniper-elite-4-authentic-plus-dlc-trophy-guide,PS4,9/10,15,,"9,486",,0,3
Dishonored,https://psnprofiles.com/guide/11902-dishonored-dunwall-city-trials-dlc-trophy-guide,PS4,9/10,15,,"26,208",4/5,9,19
Uncharted 2: Among Thieves Remastered,https://psnprofiles.com/guide/3424-uncharted-2-among-thieves-remastered-extended-collection-dlc-trophy-guide,PS4,9/10,15,,"59,430",5/5,26,97
Earthworm Jim HD,https://psnprofiles.com/guide/15941-earthworm-jim-hd-trophy-guide,PS3,9/10,20,,"3,824",,0,4
Freddy Fazbear's Pizzeria Simulator,https://psnprofiles.com/guide/18026-freddy-fazbears-pizzeria-simulator-trophy-guide,PS4,9/10,35,,"4,945",,0,9
Deathverse: Let It Die,https://psnprofiles.com/guide/15599-deathverse-let-it-die-trophy-guide,PS4,9/10,50,,"5,928",,0,7
Tom Clancy's EndWar,https://psnprofiles.com/guide/251-tom-clancys-endwar-escalation-expansion-dlc-trophy-guide,PS3,9/10,50,,"1,933",,0,5
